"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BCL6",-0.746252719909645,7.99819180631849,-9.49962169050689,4.34927972268882e-18,4.70896515575519e-14,30.3149612050106
"TLR7",0.96696077157278,6.2877807119396,9.0236038380677,1.05084585651987e-16,5.6887540442703e-13,27.2529876166308
"MAFF",-1.14659925254988,6.81976307116787,-8.61403464815039,1.5383702705966e-15,5.55197830658313e-12,24.6734186777054
"CX3CR1",1.04332286955739,6.33561215105312,8.32860554035834,9.64972325922981e-15,2.61193884319203e-11,22.9090945136575
"PFKFB3",-0.84906975402506,8.30189434808931,-8.1299133616166,3.4035474382924e-14,7.37004162287837e-11,21.6983702929046
"SLC25A37",-0.745558747508573,7.1149440378432,-7.97237005009842,9.14656738596008e-14,1.6504980847965e-10,20.7491110363176
"DDIT4",-0.93630055824577,8.03712780327011,-7.92312118960574,1.24332532203159e-13,1.92306903737657e-10,20.4543771315103
"PLEKHM1",-0.361975582850764,6.83948327370287,-7.84548762104588,2.01317981089798e-13,2.72458722657406e-10,19.9917594135272
"SLC19A2",-0.743692532733777,5.85120261825281,-7.72685790964096,4.18414538514723e-13,5.03352689833212e-10,19.2896310884468
"COL8A1",0.998604853434912,6.23765593148353,7.69587302592442,5.06021042342993e-13,5.47868982544759e-10,19.1072114541835
"PIM1",-0.752268078945216,6.30267415031937,-7.58264873585692,1.01004546560376e-12,9.94160205099264e-10,18.4440986843554
"CFI",0.65963028575039,7.49077880456565,7.53483969119964,1.35008481221438e-12,1.21811402182042e-09,18.1657635272082
"STMN2",1.48407158446265,5.91094003450758,7.48862724477082,1.7854841910803e-12,1.43259662692581e-09,17.8976772461612
"EFEMP1",0.668968262423364,9.34393887574899,7.48252930299362,1.85243860505785e-12,1.43259662692581e-09,17.8623725761843
"RTP4",0.661307904784101,5.60681329648192,7.45511349620952,2.18541751426376e-12,1.57743436179558e-09,17.7038502246393
"WSB1",-0.475929860160144,7.53558081690638,-7.41299085459535,2.81546587964044e-12,1.831752191263e-09,17.4609456340687
"ADM",-0.977261590388438,8.60716430911223,-7.4069706812715,2.91907545701468e-12,1.831752191263e-09,17.4262948297524
"FOSL2",-0.765101426124965,6.29455974250969,-7.39991494339486,3.0453070511438e-12,1.831752191263e-09,17.3857043625273
"EPYC",1.21099301259571,5.23082725995453,7.36145831205347,3.8341409174947e-12,2.1848549323008e-09,17.1648662948214
"IRS2",-0.753084187677677,6.76680204883113,-7.35246624850295,4.04591510012037e-12,2.19025613945016e-09,17.1133261796797
"CSN1S1",1.63361277069773,7.19152391628987,7.33463392760549,4.50061998910746e-12,2.32039107724126e-09,17.0112253250785
"CRIP1",0.826861426678917,9.31562025580067,7.29378202793357,5.74115181105255e-12,2.80411433773706e-09,16.7778736314162
"NFKB2",-0.637236553041507,6.61664046805011,-7.2875821084312,5.95683289627343e-12,2.80411433773706e-09,16.7425260907405
"HFE",0.401119787145059,6.83918882267175,7.23892779828925,7.95124901073402e-12,3.58700720996738e-09,16.4657531778596
"RGS4",0.648193473638121,6.64856290360292,7.20794586886802,9.55100390367669e-12,4.1363487706043e-09,16.2900867008863
"DPT",0.86276853421891,8.97866859147239,7.19157197746797,1.05207178907201e-11,4.38106971549334e-09,16.1974295392493
"BRD4",-0.49128778996451,7.18477789565628,-7.15411000919452,1.31196347638085e-11,5.2609735402872e-09,15.9859151872051
"MFAP4",0.756780149221716,7.24583757407743,7.13497255278726,1.46821031618592e-11,5.67725467619463e-09,15.8781203668464
"PTN",0.788684699873669,7.42919142902585,7.11004264768928,1.69953999259827e-11,6.34514465512464e-09,15.7379611016722
"RLF",-0.325061027532513,6.27392698145972,-7.03721104085196,2.60150406367714e-11,9.38882816581079e-09,15.3302066097699
"ANGPTL2",0.64077070344867,10.0456952761624,6.96732206822603,3.90474008718551e-11,1.36376196528895e-08,14.9413558716939
"NPTX2",0.742732874891793,6.39494538189979,6.95331911452407,4.23451464611116e-11,1.40732448782056e-08,14.8637348319849
"APOD",-1.3976973383147,7.50630795182626,-6.95109198425899,4.28943457080249e-11,1.40732448782056e-08,14.8513983708054
"TIPARP",-0.662319942669359,7.478172691074,-6.93423500571622,4.72850886557156e-11,1.50575192610421e-08,14.7581044337756
"BAZ1A",-0.451890591583858,6.38483067139688,-6.84332756214304,7.97831330752631e-11,2.46803423373107e-08,14.2574301935269
"ZFAND5",-0.518507935688509,8.57392624527743,-6.81882476810598,9.17988138533065e-11,2.76084932663819e-08,14.1231932920994
"HMGB2",-0.570874465276656,6.97656924856045,-6.80473670206929,9.94963269848302e-11,2.91147765476961e-08,14.0461509377192
"CLIC3",0.738892464533517,5.56839838340733,6.7992960646061,1.02636135398041e-10,2.92431957356472e-08,14.0164252079386
"SRP54",-0.317675396482294,7.29160529004193,-6.7852337265654,1.11210485221171e-10,3.08737416279389e-08,13.9396635853285
"SRPK1",-0.333631860198816,6.45531149369415,-6.76886524410783,1.22081653248143e-10,3.30444514929411e-08,13.8504410013753
"PRSS23",0.663609211091059,8.9955975889265,6.75053162900558,1.35502445431228e-10,3.57825604069246e-08,13.7506701002756
"KAZALD1",0.596311009129332,6.76010266142317,6.74425872109209,1.40419800617777e-10,3.60997351493781e-08,13.7165728938602
"TMEM176A",0.530936128139961,7.53654836244884,6.74059574189155,1.43371996991157e-10,3.60997351493781e-08,13.6966716819019
"KAL1",0.903977749948712,6.52946006907303,6.73286096151569,1.49807977620507e-10,3.6862976674937e-08,13.6546708660437
"TLR3",0.513241581564029,6.03825266076352,6.71353289514,1.67159461656933e-10,4.02185664746581e-08,13.5498524082025
"FNBP4",-0.46164770497619,7.12863873531199,-6.65281677539089,2.35558756765023e-10,5.54433621629327e-08,13.2218459771231
"GABARAPL1",-0.419606087332052,7.3513170378329,-6.62550414280217,2.74687516195521e-10,6.29903542777727e-08,13.0749248750892
"PDE1A",0.496125951038299,7.05700001219724,6.62256646354281,2.79258982666767e-10,6.29903542777727e-08,13.0591458166441
"UGCG",-0.505301466072455,6.82141600102381,-6.60431628151867,3.0938213136992e-10,6.83608231906556e-08,12.9612214072837
"STC1",-0.618202940285706,6.00779696615827,-6.59714735892363,3.22069722792537e-10,6.97409777734959e-08,12.9228035923192
"ZNF365",0.475332154536174,6.67947676897968,6.58782489940442,3.39336289085255e-10,7.20390980769816e-08,12.8728858928131
"YIPF3",0.353215144913559,7.19523333302088,6.57125480176311,3.72300854762909e-10,7.7517333740731e-08,12.7842743157643
"NXF1",-0.374269455720454,7.47584152721239,-6.56593904675274,3.83528294372278e-10,7.83483177956349e-08,12.7558783484992
"SETD1A",-0.446242578012288,5.90724861196389,-6.55218472232597,4.14146668016607e-10,8.30364069373297e-08,12.6824748276484
"C1orf54",0.561359858036357,7.68132725329558,6.54660549246606,4.27240454006193e-10,8.41042253731828e-08,12.6527286591748
"NOLC1",-0.401831072211512,7.00724055698986,-6.51823146292082,5.00391160743805e-10,9.67452695959497e-08,12.5017082885127
"PART1",0.810811377515716,5.75170414078215,6.48984293721746,5.85861036322758e-10,1.11282762109939e-07,12.3510445244885
"SIRT4",0.698811357255661,4.79637241013787,6.48272267738601,6.09455715951721e-10,1.13768569596712e-07,12.3133241617371
"CRTAC1",1.00584140737521,10.2047204162456,6.46158516167452,6.85136595448793e-10,1.25728371507188e-07,12.201507813402
"MTHFD2",-0.656962729146837,6.84586022450511,-6.43841600818173,7.78713426468447e-10,1.40518837806231e-07,12.079223462032
"IFRD1",-0.448771440159795,6.32955397205797,-6.41415119862267,8.90167639847875e-10,1.57997459616933e-07,11.9514707648986
"PNPLA2",-0.487068651495924,8.30457367913052,-6.41097090732581,9.05890384508067e-10,1.5819476117853e-07,11.9347506475766
"TPPP3",0.814088671573839,7.4949595380707,6.40689215273151,9.26454621425679e-10,1.59217844225013e-07,11.9133150624134
"BLNK",0.531805841155095,5.94513083951475,6.40002978369994,9.62092399685568e-10,1.62758975178057e-07,11.8772710329055
"NUP153",-0.389315184490987,6.91519980586499,-6.39374608478212,9.95903605270783e-10,1.63532158245758e-07,11.8442891415927
"MARK3",-0.281125264315973,6.5398514361094,-6.39356939405878,9.96871011750259e-10,1.63532158245758e-07,11.8433620411968
"ARID5B",-0.466286978151893,7.9511281919236,-6.38873828170107,1.02368249316365e-09,1.65424035126609e-07,11.8180197449247
"GYS1",-0.502076256568923,6.48982218314001,-6.38439444040119,1.04839343314598e-09,1.66925819127523e-07,11.7952444837881
"C10orf10",-0.818396936429638,7.73083981031799,-6.36948874529685,1.13772325130315e-09,1.78523617997959e-07,11.7171714011759
"GMEB2",-0.256184850218253,6.99499253401582,-6.36343352352514,1.17610982136275e-09,1.81910586227065e-07,11.6854904333768
"SMTN",-0.414428821143313,6.39226653712549,-6.34278056567719,1.31684718740622e-09,2.00809922507707e-07,11.5775868601785
"DMBT1",0.471900708176641,6.63212171544177,6.33553039432279,1.3700714420024e-09,2.06024493091111e-07,11.5397637470613
"AFF1",-0.388663684675822,7.63753575035318,-6.33296642457114,1.38939464349509e-09,2.0606816171399e-07,11.5263948817428
"ZNF214",0.519737221667981,4.57491354209121,6.32318764427516,1.46557805582161e-09,2.14429913653791e-07,11.4754406908968
"N6AMT1",0.563815672394158,5.67363609538684,6.31781511376972,1.50916337964722e-09,2.17862825485872e-07,11.4474687969095
"SIN3B",-0.35789350320438,6.30247216247073,-6.30817029802194,1.59062206754784e-09,2.26600856912374e-07,11.3972938412324
"ENTPD1",0.375108253629602,7.01054682398534,6.30257351667899,1.63985390820257e-09,2.30580496936484e-07,11.3682017104838
"KCNK2",0.955246470706623,5.51914904335214,6.28971021398697,1.75874259840188e-09,2.441270014474e-07,11.30140461953
"HEY2",0.527188277695028,5.9346380207259,6.28563685055474,1.79812412076057e-09,2.46434048803477e-07,11.2802716347008
"CARS",-0.302339240704887,7.6753461729978,-6.25810456141002,2.0879456416741e-09,2.7922721603025e-07,11.1376762339404
"PRPF3",-0.36470597935529,6.81378995344058,-6.25801303507147,2.08898166606172e-09,2.7922721603025e-07,11.1372029123391
"PHIP",-0.297111876406964,6.96009493248978,-6.23131636161823,2.41372580425835e-09,3.18700113203722e-07,10.9993451568284
"JMJD6",-0.365946691446269,6.48425012718842,-6.21087303139539,2.69540813234322e-09,3.47853207494922e-07,10.8940518417739
"COPZ2",0.562030684735287,7.82124291678393,6.20881887417903,2.72543342270725e-09,3.47853207494922e-07,10.8834850439988
"IL17RA",-0.330893753755855,6.65937044813834,-6.20844684309614,2.73090631172701e-09,3.47853207494922e-07,10.8815715343769
"EFEMP2",0.406049219159403,7.99526217343161,6.20363565311877,2.80266124045052e-09,3.52842014539044e-07,10.8568326952066
"RNMT",-0.313865424875164,6.6443993639688,-6.17357721932358,3.29468416985394e-09,4.10017764448375e-07,10.7025731035812
"MREG",0.348261861889516,6.04075297086782,6.16880001761082,3.38031441969532e-09,4.15893911614105e-07,10.6781041346474
"SALL2",0.320441093829176,6.2893996105145,6.15376122179031,3.66437451642057e-09,4.42295887089006e-07,10.6011604339896
"NARF",-0.436081803013298,6.43790587033898,-6.15170077079278,3.705072213657e-09,4.42295887089006e-07,10.5906285674239
"SLC3A2",-0.405080791708687,6.79613169502786,-6.15107806550274,3.71745873511587e-09,4.42295887089006e-07,10.5874461284603
"EPHA3",0.62735452177141,6.40649700064503,6.1408695944082,3.92640298655013e-09,4.62077881906286e-07,10.5353058427366
"OGN",1.22990751640115,7.92249720307925,6.13873470771819,3.9715327885857e-09,4.62363284967929e-07,10.5244093856789
"ROR1",0.427177698699706,5.90655682451926,6.10726263854904,4.69888249094536e-09,5.41221284356015e-07,10.3640812389616
"NFIL3",-0.834435696056865,7.18042054708537,-6.09829602535071,4.92899156681123e-09,5.61749386251213e-07,10.3185075214406
"SLC35E1",-0.520379847377587,7.86976014625706,-6.09270681079134,5.07797509059961e-09,5.72700378186687e-07,10.2901233713737
"FADS3",-0.396881622456915,6.52613367983775,-6.08348131376978,5.33359128290664e-09,5.93546091835928e-07,10.2433124975087
"BAALC",0.490138510371812,6.40389618041381,6.08211691546065,5.37245007850013e-09,5.93546091835928e-07,10.2363936372396
