"","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT"
"GSE55235_GSM1332201",0.0380910356792336,0,0.132603052969453,0.0231526012777164,0,0.0102675434097931,0,0.047962094311285,9.0308253932837e-05,0,0.036772286378918,0,0.17487982437593,0,0.0125770226715183,0.274492371486138,0.0523272178887345,0,0,0.0812835328758029,0,0.115501108421545
"GSE55235_GSM1332202",0.0307928248112587,0,0.0435966955863469,0,0.043074953999473,0.0131375797102499,0,0.0223260235483226,0.0501103592667529,0,0.0707907870122794,0,0.0502400867901214,0,0.0336748441575511,0.478061083291627,0.00532635455942464,0,0,0.1078923732599,0,0.0509760340066926
"GSE55235_GSM1332203",0.0589291034508358,0,0.115634728786593,0.0444616009097555,0,0.118585132754189,0,0.0178794059642123,0.0732957965334813,0,0.0592203641289916,0,0.15068093228253,0,0,0.300938015670845,0,0,0.0571657387174752,0.0032091808010921,0,0
"GSE55235_GSM1332204",0.0352150031470363,0,0.110198206823485,0,0,0.109349674627169,0,0.0165580718837878,0.0181763508545151,0,0,0.0204975234943485,0.188252158015214,0,0.0660657155149081,0.145272334805233,0.0323812754873429,0.00552303570224685,0,0.21200989440752,0.0197578459527581,0.0207429092844358
"GSE55235_GSM1332205",0.158609967596277,0,0.0453833785963763,0,0.0225691596572488,0.107983837414793,0,0.0579076574790831,0.0285335413425692,0,0.00740623258060199,0.100670601888806,0.128121466989103,0.0018340300987095,0.027124979209827,0.107018637596462,0,0,0,0.187531553377236,0.0193049561729066,0
"GSE55235_GSM1332206",0.0889160816920823,0,0.0326967195114103,0,0,0.115537487871393,0,0.0730260365482604,0.0327752927700407,0,0,0.0816867881462146,0.0452035271342352,0,0.0461904597855965,0.218819859539636,0,0.00480008747128827,0,0.226286301240225,0.0120681868834331,0.0219931714061842
"GSE55235_GSM1332207",0.111615329451579,0,0.08599891574452,0,0,0.0226636403823435,0,0.0533192140413291,0.0474303372270667,0.0160429936417141,0,0.0798817692638223,0.10479691475401,0,0.17850035785535,0.0357248208976564,0.0127568587398882,0,0,0.230922025609424,0,0.0203468223912973
"GSE55235_GSM1332208",0.125362104830584,0,0,0,0.0976675359865814,0,0,0.13609251576947,0.0224220511228669,0,0.049555774114991,0.0732325314789763,0.0621867200457438,0,0.0275023608203626,0.0447598406312271,0.0253302712051639,0.0114301570954091,0,0.324458136898624,0,0
"GSE55235_GSM1332209",0.0577135539562303,0,0.0333986382471442,0.0273910724755106,0,0.14120166252587,0,0,0.0227705516228272,0,0.0561020932074794,0.0060381413625141,0.0973789571565244,0,0.0222137323589422,0.352839778503548,0.00645978028102092,0,0.13385662790492,0,0,0.0426354103974691
"GSE55235_GSM1332210",0.0188843087106777,0,0.146104230667989,0.176256236482155,0,0.10534465777153,0.0810381474218179,0.00379157769697502,0,0,0,0,0.092865500126693,0,0.105275937325132,0.216727263715717,0.0116993590760883,0,0.0130308329923872,0.0179908535616443,0.0109910944511942,0
"GSE55457_GSM1337304",0.108894218980743,0,0,0,0.188808780826534,0,0.0790418624837981,0,0.0186926648221491,0.0263480762433455,0.0882916868592378,0,0.0350830182423412,0.18363015528494,0.0135961525637533,0.123400018404542,0,0.00767528568665112,0.0506637196648913,0.0681410352825127,0.00276774154248225,0.0049655831120785
"GSE55457_GSM1337305",0.0285285986232856,0,0,0.12149850944126,0.00194305370219836,0,0,0.0163607877080797,0.0629219324868569,0,0.0925730980704856,0.00219311405816119,0.122189369671797,0,0.0270706562469123,0.427020488386447,0.00518563971969983,0,0.0516551229846243,0,0.0252205238506614,0.0156391050495308
"GSE55457_GSM1337306",0.0908258409527246,0,0.0597205897132542,0,0.0237254452556436,0.136807178547884,0,0.0167058833352095,0.0433919426929686,0,0.128271681384019,0,0.162165928625512,0,0.0228905860973462,0.211282923884071,0,0,0.0920538310412864,0,0.0121581684700806,0
"GSE55457_GSM1337307",0.0504563828407003,0,0.00404902975580872,0,0,0.0937336363323638,0,0.0137861751074926,0.00830710232541928,0.0255786078290097,0.000201621196512024,0.0054657138901542,0.181227770606243,0,0,0,0,0.0169610528991857,0,0.275290803765248,0,0.324942103451864
"GSE55457_GSM1337308",0.0481499369786173,0,0.0609466903695522,0.0616634368051897,0,0.0970879089928392,0,0.0606432218598494,0.0272651575939548,0,0,0.0312827180208153,0.136792037471152,0,0.121343143430534,0.114457581219673,0.00531100181572284,0,0,0.224881987738361,0.0101751777037398,0
"GSE55457_GSM1337309",0,0,0.0601128106339164,0,0,0.123028828662077,0,0,0.0594034719306215,0,0.0339901940449521,0,0.0865288098327997,0,0.0150372396171124,0.268978280124307,0.0481263707326711,0,0.283922481221106,0,0,0.0208715132004363
"GSE55457_GSM1337310",0,0.0167881256407256,0,0.0428735051901947,0,0.0503253598537177,0,0.055010870645967,0.0476275986414145,0,0,0,0,0.391450515294805,0.0627776922851504,0.27129212175028,0,0,0.061854210697745,0,0,0
"GSE55457_GSM1337311",0,0.0321416912718541,0,0.114625844390799,0,0.0414685270707795,0,0.09879892374292,0.00992257185949832,0,0.0261313450158289,0,0.0826486867891692,0,0.0669056011538296,0.298262456625386,0.0816947210263166,0,0.0791921908705263,0.0682074401830921,0,0
"GSE55457_GSM1337312",0.0574935983348688,0,0,0.0671421729976602,0,0.153741164331601,0,0.068374814417208,0.0218215810612197,0,0.00564603239254591,0.0193969215089697,0.0643830127215489,0,0.0368328746439811,0.286149465319291,0.0197806024371064,0,0,0.179743918360673,0,0.0194938414733259
"GSE55457_GSM1337313",0.0234868827175291,0,0.0382236102367701,0.0115685314370642,0,0.153758969524759,0,0.0270316330016247,0.0136619979688802,0,0,0.0571576918587007,0.130913430350843,0.0041672562560575,0.0493594310151079,0.323764681248921,0,0,0,0.151684546989678,0,0.0152213373940653
"GSE82107_GSM2183532",0.119696835053172,0,0.151556710193905,0.068908676330082,0,0.0126595116078493,0,0.0144831260772819,0.0907361178388423,0,0.124540211409439,0,0.111661355285524,0,0.0394299295316579,0.127308434610498,0.00587898107244159,0,0.133140110989306,0,0,0
"GSE82107_GSM2183533",0,0,0.179290004669529,0.0738411155341299,0,0.148571024455264,0,0,0.0622745313252965,0,0.0441572194358485,0.0307808316009099,0.144780982578947,0.00737026749980732,0.0642584791043324,0.0250097607228911,0.0448906177023128,0,0.0242137164476159,0.150561448923116,0,0
