"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KCNN4",1.00315780058825,6.40604616183374,10.2868355044953,7.98299137475613e-19,8.64318476144846e-15,31.9888513715856
"MLLT11",0.735361021032381,6.42367076692751,9.0359476038272,1.1984239097141e-15,6.4876678352373e-12,24.9672861303257
"TIMP1",0.896678564050379,10.3580828877998,8.91449960429016,2.41239195523673e-15,6.82198179751118e-12,24.2953152461431
"GJA1",0.999953852636433,8.03599253269026,8.9068856483312,2.52035902743555e-15,6.82198179751118e-12,24.2532617724214
"COL6A1",0.828350034374537,10.0464579134099,8.80921937703727,4.41568865470231e-15,9.5401099119519e-12,23.7146412753939
"FAP",1.21884924523551,8.08845604627268,8.77779972141432,5.28684395231471e-15,9.5401099119519e-12,23.541692122742
"COL6A3",1.22377453505324,9.87424025008621,8.67608965951583,9.45848011664476e-15,1.4629566317559e-11,22.9829660947882
"UNC5B",0.670477092753176,6.83567246722457,8.64554009369732,1.12601055088944e-14,1.52391452930999e-11,22.8154956780339
"SEZ6L2",0.84608529116469,5.82279607941915,8.58137583222054,1.62307535543796e-14,1.95255965259186e-11,22.4642924858534
"MRC2",0.80457015789528,8.44822227730127,8.46026980108848,3.22945790469163e-14,3.49653407340963e-11,21.8034828642991
"SULF1",0.825003211049782,8.38404723567111,8.27825236746442,9.03230707929527e-14,8.89025352250271e-11,20.815683519428
"PLOD2",0.75287696784165,8.85971243406771,8.23311663320346,1.1643759146606e-13,1.05055816900253e-10,20.5717849305236
"COL5A2",0.985285462709161,9.03546933497162,8.12262173489397,2.16410916467267e-13,1.80236999430085e-10,19.9765568108469
"PDLIM7",0.633547905358659,7.04364408482393,8.09811829553994,2.48206000608756e-13,1.91951883470786e-10,19.8449234688874
"TGFBI",0.966351587059358,9.82863174956005,7.86546223514383,9.05735899728242e-13,6.53760172423845e-10,18.60202916813
"SERPINE2",0.904580467603824,8.32712165352198,7.79543276995383,1.33379279747078e-12,9.02560913638506e-10,18.2304872204842
"COL3A1",1.18143337639836,10.6378466856793,7.730231593727,1.91026532558247e-12,1.2166142752989e-09,17.8856825504
"CD55",0.775785515514292,8.67762617462815,7.69130801123739,2.3658876737693e-12,1.42308143577224e-09,17.6803688621546
"GOLM1",0.843187984593491,7.83561868797019,7.6791052618606,2.52978044102455e-12,1.44157541236699e-09,17.6160841950672
"ITGAV",0.537932250099614,7.93522375714162,7.64468114266918,3.05526397300937e-12,1.65396715178862e-09,17.4349501943364
"HTRA1",0.667055272465889,11.0272948576289,7.62358944517911,3.42926011464094e-12,1.76802853624845e-09,17.3241265414974
