,logFC,AveExpr,t,P.Value,adj.P.Val,B
HALLMARK_G2M_CHECKPOINT,-0.154905844125048,-0.0035973564258853,-5.87300498036492,1.59827023535577e-08,7.99135117677886e-07,9.08885168031224
HALLMARK_KRAS_SIGNALING_UP,0.112254632069646,0.00189089746893283,5.61165636698567,6.09914360977651e-08,1.52478590244413e-06,7.80061573899217
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.254609237658405,-0.00370542033014067,4.63569911781001,6.15004964510667e-06,0.000102500827418445,3.39093701685723
HALLMARK_COAGULATION,0.114230388061287,0.00318831809702878,4.50663580426679,1.07831704270914e-05,0.000127105371217916,2.85830213082376
HALLMARK_NOTCH_SIGNALING,0.155479874197452,0.0114053400885086,4.42945322778801,1.50009257611762e-05,0.000127105371217916,2.5457115605289
HALLMARK_MYC_TARGETS_V2,-0.199037246070472,-0.0225312948179228,-4.4255358983925,1.52526445461499e-05,0.000127105371217916,2.52996582577371
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.162335493407054,-0.0140337617426033,-4.20271608207566,3.85880351925313e-05,0.000275628822803795,1.65357966009706
HALLMARK_MYC_TARGETS_V1,-0.177183767528743,-0.011086453144082,-3.82241050895756,0.000172795465615374,0.000993145080288591,0.247219066937651
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.154655317124412,0.00557704679842522,3.81081766439315,0.000180564894735642,0.000993145080288591,0.20616179975751
HALLMARK_IL2_STAT5_SIGNALING,0.0726233570891246,0.00241090244705789,3.78559163110867,0.000198629016057718,0.000993145080288591,0.117197363140034
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.125526343727824,0.000364834046555643,3.48411363659537,0.000597596912483092,0.00258704431374989,-0.905661392382309
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.137901127521358,-0.0106406581590381,-3.47328706744641,0.000620890635299974,0.00258704431374989,-0.940992572887905
HALLMARK_MITOTIC_SPINDLE,-0.0918562720444157,0.0078475817214774,-3.24350666186676,0.00136771274242382,0.00491723547430228,-1.66753399641689
HALLMARK_ANDROGEN_RESPONSE,-0.0833456951288551,0.00167713860522918,-3.24152128581752,0.00137682593280464,0.00491723547430228,-1.67361599898801
HALLMARK_COMPLEMENT,0.0718129378352201,0.000463424102892418,3.1463552484336,0.00188591300241997,0.00628637667473323,-1.96117952600278
