"","Overall"
"CSNK1G2",33.8000347085079
"PRKACB",4.77407350377218
"PRKACA",36.4609729234817
"PRKX",58.2503468816746
"GAS1",14.6590594710724
"GLI3",100
"BMP2",16.7455798991743
"BMP5",1.5778355805288
"WNT2",1.35080546759205
"LRP2",12.325740594629
"WNT5A",47.1811688842889
"BMP6",7.40691311911725
"WNT10B",14.9306950818387
"WNT2B",0.217274185377234
"GLI1",44.3400640658736
"WNT11",11.9887288465518
"GLI2",0.381040130106571
"PRKACG",19.8029422180118
"SHH",6.45726861287754
"WNT8B",6.60919432933853
"WNT1",19.853362497367
"WNT4",0
"CSNK1D",7.32042295041972
"CSNK1A1",8.59997361716525
"FBXW11",41.9958742618667
"PTCH1",9.15079305075941
"GSK3B",1.4567730500492
"WNT7A",23.8388643409607
"BMP7",17.8105718995685
"BMP4",3.29080278509486
"IHH",12.9392263858303
"BTRC",20.2546016468842
"WNT7B",13.8278252613042
"SMO",31.443415258042
"BMP8A",3.49775067961061
"CSNK1G3",12.785860560513
"RAB23",48.7427165557386
"WNT5B",32.1538512105813
"WNT16",11.9469054695417
"PTCH2",16.9041874773587
"BMP8B",38.5675993946064
"CSNK1G1",3.61766072734328
"WNT6",11.5594107359745
