"","Overall"
"GLI3",100
"PRKX",48.9041208983072
"PRKACA",40.7719133717118
"SMO",37.4113580002066
"CSNK1G2",36.2131445193326
"WNT7A",33.720772268452
"BMP7",28.5854690069069
"GLI1",27.946144858396
"FBXW11",26.3272613227336
"WNT5A",26.2643067036453
"BMP8B",22.9931029036854
"BMP2",22.6233247482021
"RAB23",21.997405911669
"IHH",21.8874458443651
"WNT11",21.1658790910934
"WNT10B",19.1983750041367
"PTCH2",18.4840217396297
"WNT5B",17.2132390896424
"BMP8A",16.6773445928925
"WNT7B",16.6363543110223
"CSNK1A1",15.3744604457618
"CSNK1G3",15.2751689811268
"BMP6",14.6309381881153
"GAS1",11.3817664438395
"WNT8B",10.5341704729352
"WNT6",9.82903428050072
"WNT1",8.90162841711795
"LRP2",8.59322748210849
"PRKACG",8.00140857353466
"GLI2",7.88825175299554
"GSK3B",6.99930924220446
"BMP4",6.34581279648175
"SHH",6.0291862760697
"WNT16",5.94508987830344
"CSNK1D",5.00546929662419
"WNT4",4.02727458377581
"CSNK1G1",3.97172041530381
"WNT2",3.890216089036
"PTCH1",1.33461245664104
"BTRC",1.18737779025106
"WNT2B",0.811266670078107
"PRKACB",0.604607255642038
"BMP5",0
