"","Overall"
"BMP2",45.3139443551747
"BMP4",0
"BMP5",14.1229079843939
"BMP6",12.8067066027298
"BMP7",9.31120222051654
"BMP8A",11.7179639811892
"BMP8B",28.5197630640731
"BTRC",7.54971910259474
"CSNK1A1",17.5269902159752
"CSNK1D",15.6969170668824
"CSNK1G1",13.2228505138164
"CSNK1G2",84.3483407377776
"CSNK1G3",14.9057623995614
"FBXW11",43.1294856624588
"GAS1",56.475106501056
"GLI1",25.7572757565721
"GLI2",8.38734909965917
"GLI3",100
"GSK3B",7.6787523417291
"IHH",33.8841188469835
"LRP2",22.0377354486762
"PRKACA",40.1816841156653
"PRKACB",21.1635751716482
"PRKACG",10.4667744824836
"PRKX",57.1300910294414
"PTCH1",13.5447283921416
"PTCH2",8.54283691834758
"RAB23",53.1673303022406
"SHH",9.80957726577851
"SMO",25.0213242373665
"WNT1",10.7316171441296
"WNT10B",16.0383256440018
"WNT11",41.3933982708877
"WNT16",9.60419390023863
"WNT2",14.1306175810399
"WNT2B",16.0170569257147
"WNT4",15.4874123553358
"WNT5A",71.7716271930615
"WNT5B",67.4602920072905
"WNT6",8.81662253130595
"WNT7A",18.0150725877612
"WNT7B",15.8063564753212
"WNT8B",14.8851974291263
