"","Overall"
"BMP2",8.43969555035129
"BMP5",4.29304029304029
"BMP6",3.07301587301587
"BMP7",5.5609022556391
"BMP8A",7.61001317523057
"BMP8B",13.6879692985587
"CSNK1A1",6.83039395327531
"CSNK1D",4.30471014492754
"CSNK1G1",3.34065934065934
"CSNK1G2",29.5500114015394
"FBXW11",11.9093406593407
"GAS1",3.42857142857143
"GLI1",7.69779286926994
"GLI2",4.62417582417583
"GLI3",14.9154135338346
"GSK3B",1.96923076923077
"LRP2",2.41269841269841
"PRKACA",6.61482029882891
"PRKX",18.4771274519313
"RAB23",16.1788536626772
"SMO",8.90156159629844
"WNT1",4.34782608695652
"WNT11",3.70614035087719
"WNT5A",21.7469620601277
"WNT5B",22.9944109348259
"PRKACB",0
"WNT2",0
"WNT10B",0
"WNT2B",0
"PRKACG",0
"SHH",0
"WNT8B",0
"WNT4",0
"PTCH1",0
"WNT7A",0
"BMP4",0
"IHH",0
"BTRC",0
"WNT7B",0
"CSNK1G3",0
"WNT16",0
"PTCH2",0
"WNT6",0
